"Disease","Scenario","Symptom Description"
"Covid-19","1","Hai ngày nay tôi bị sốt cao liên tục, ho không dứt, toàn thân đau mỏi và cảm thấy hoàn toàn không nếm được thức ăn."
"Covid-19","2","Tôi cảm thấy tức ngực, khó thở nhẹ, có lúc ớn lạnh. Hôm nay ăn cơm cũng chẳng nếm được vị gì cả."
"Covid-19","3","Tôi bị ho khan liên tục, kèm đau nhức người và cảm giác hụt hơi khi đi lại. Gần đây ăn uống cũng không còn cảm nhận được vị giác."
"Cảm lạnh thông thường","1","Tôi bị chảy nước mũi, cổ họng hơi đau rát, có sốt nhẹ và nhức đầu nhưng cũng không quá nghiêm trọng."
"Cảm lạnh thông thường","2","Mấy hôm nay mũi tôi liên tục nghẹt, kèm theo ho nhẹ và cơ thể thì hơi mệt, đau ê ẩm."
"Cảm lạnh thông thường","3","Tôi thi thoảng hắt hơi, ho khan, đầu thì đau âm ỉ và giọng trở nên khàn hơn thường ngày."
"Bệnh tim mạch","1","Một tuần nay tôi thường xuyên đau tức ngực khi đi cầu thang hoặc làm việc nặng, tôi còn cảm thấy tim đập nhanh hơn bình thường."
"Bệnh tim mạch","2","Tôi thấy hơi đau ngực, người mệt rũ rượi và hay buồn ngủ vào ban ngày, đôi khi khó thở khi nằm xuống."
"Bệnh tim mạch","3","Tôi có cơn đau nhói ở ngực, đau lan lên cổ và đôi lúc cảm giác tê yếu ở một bên chân."
"Cao huyết áp","1","Thời gian gần đây tôi chóng mặt và hay bị nhức đầu, hôm trước còn bị chảy máu cam không rõ lý do."
"Cao huyết áp","2","Gần đây tôi hay bị mờ mắt, lúc đứng dậy thì hoa mắt, nhức đầu và đôi lúc còn buồn nôn nhẹ."
"Cao huyết áp","3","Tôi bị đau ngực, thỉnh thoảng khó thở, ngủ cũng hay bị tỉnh giữa đêm kèm cảm giác ù tai khó chịu."
"Vấn đề sức khỏe tinh thần và cảm xúc","1","Gần đây tôi rất dễ lo lắng, người mệt mỏi, làm gì cũng kém tập trung và thường xuyên mất ngủ."
"Vấn đề sức khỏe tinh thần và cảm xúc","2","Tôi nhận thấy mình trở nên buồn bã và ít nói chuyện hơn, chẳng còn hứng thú với những công việc từng rất yêu thích."
"Vấn đề sức khỏe tinh thần và cảm xúc","3","Tôi thi thoảng xuất hiện ý nghĩ tiêu cực, đôi lúc còn nghe thấy tiếng nói lạ và thỉnh thoảng gặp ác mộng về những chuyện cũ."